index,id,gender,car,property,children,income,income_type,education,marital_status,housing_type,age,employed_years,work_phone,phone,email,family_members,reject
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,0.0,0,0,0,2,1
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,0,2,1
2,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,0,2,1
3,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,0,2,1
4,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,0,0,0,2,1
5,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.0,2.0,0,1,1,3,1
6,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,50.0,2.0,0,1,1,3,1
7,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,2.0,0,1,1,1,1
8,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,0,2,1
9,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,0,2,1
10,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.0,3.0,0,0,1,3,1
11,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,1.0,0,0,0,2,1
12,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,1.0,0,0,0,2,1
13,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,0,0,0,1,1
14,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,0,0,0,1,1
15,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,52.0,5.0,0,0,1,2,1
16,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.0,12.0,0,0,0,1,1
17,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.0,5.0,0,0,1,2,1
18,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,49.0,3.0,0,0,0,2,1
19,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,3.0,0,0,0,4,1
20,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,44.0,2.0,0,0,0,2,1
21,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,43.0,1.0,0,1,0,2,1
22,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,0,1,0,2,1
23,5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,0,0,0,2,1
24,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,33.0,13.0,0,0,0,2,1
25,5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,0,1,1,2,1
26,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.0,7.0,0,0,0,1,1
27,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1.0,1,0,0,3,1
28,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,36.0,10.0,0,0,0,2,1
29,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,56.0,4.0,0,0,0,2,1
30,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,2.0,0,0,0,2,1
31,5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,0,0,0,2,1
32,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,0,1,0,2,1
33,5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,2.0,1,1,0,1,1
34,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,44.0,20.0,1,1,0,4,1
35,5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,0,0,0,1,1
36,5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,0,0,0,1,1
37,5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,0,0,0,1,1
38,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,0,1,0,3,1
39,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,0,1,0,3,1
40,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,11.0,0,0,0,3,1
41,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,0,0,0,3,1
42,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,0,0,0,3,1
43,5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,1,0,0,2,1
44,5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,1,0,0,2,1
45,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,32.0,0.0,1,1,0,1,1
46,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,2.0,0,0,0,3,1
47,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,2.0,0,0,0,3,1
48,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,0,0,1,2,1
49,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,0,0,1,2,1
50,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,0,0,0,2,1
51,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,0,0,0,2,1
52,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,0,0,0,2,1
53,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.0,6.0,1,0,0,2,1
54,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,0,0,0,3,1
55,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,0,0,0,1,1
56,5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,23.0,0,0,0,4,1
57,5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,23.0,0,0,0,4,1
58,5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,0,0,0,1,1
59,5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,0,0,0,1,1
60,5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,0,0,0,1,1
61,5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,0,0,0,1,1
62,5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,0,0,0,1,1
63,5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,57.0,0.0,0,0,0,2,1
64,5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,64.0,0.0,0,0,0,2,1
65,5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,0,1,0,2,1
66,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,25.0,4.0,0,0,1,3,1
67,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,0,0,0,2,1
68,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,42.0,11.0,0,0,0,2,1
69,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,4.0,0,0,0,2,1
70,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.0,8.0,0,0,0,3,1
71,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.0,0.0,0,1,0,2,1
72,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,7.0,0,0,0,2,1
73,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,31.0,5.0,1,0,0,2,1
74,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,31.0,5.0,1,0,0,2,1
75,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,4.0,0,0,0,2,1
76,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,14.0,0,0,0,4,1
77,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,1,0,0,3,1
